date,open,high,low,close,volume,date_1w,open_1w,high_1w,low_1w,close_1w,volume_1w,extrema_1w,change_1w
2024-12-19 14:45:00+00:00,0.9589,0.9596,0.9458,0.9498,6505077.0,,,,,,,,
2024-12-19 15:00:00+00:00,0.9498,0.9502,0.9347,0.9383,9222101.0,,,,,,,,
2024-12-19 15:15:00+00:00,0.9383,0.9396,0.9227,0.9246,10221480.0,,,,,,,,
2024-12-19 15:30:00+00:00,0.9246,0.9367,0.9212,0.9362,7137424.0,,,,,,,,
2024-12-19 15:45:00+00:00,0.9362,0.9446,0.9297,0.9425,7443319.0,,,,,,,,
2024-12-19 16:00:00+00:00,0.9425,0.9425,0.9315,0.9421,4646486.0,,,,,,,,
2024-12-19 16:15:00+00:00,0.9421,0.9444,0.9346,0.9372,2788576.0,,,,,,,,
2024-12-19 16:30:00+00:00,0.9372,0.9492,0.9346,0.9457,3806562.0,,,,,,,,
2024-12-19 16:45:00+00:00,0.9457,0.9506,0.9434,0.9499,3269741.0,,,,,,,,
2024-12-19 17:00:00+00:00,0.9499,0.9503,0.9454,0.9473,2108063.0,,,,,,,,
2024-12-19 17:15:00+00:00,0.9473,0.9477,0.927,0.9309,6914050.0,,,,,,,,
2024-12-19 17:30:00+00:00,0.9309,0.9313,0.9134,0.9169,15201719.0,,,,,,,,
2024-12-19 17:45:00+00:00,0.9169,0.9192,0.8834,0.9039,51131641.0,,,,,,,,
2024-12-19 18:00:00+00:00,0.9039,0.9054,0.8816,0.8883,29046761.0,,,,,,,,
2024-12-19 18:15:00+00:00,0.8883,0.9005,0.8674,0.8999,36390656.0,,,,,,,,
2024-12-19 18:30:00+00:00,0.8999,0.8999,0.8793,0.8829,14088505.0,,,,,,,,
2024-12-19 18:45:00+00:00,0.8829,0.8984,0.8798,0.8972,6787813.0,,,,,,,,
2024-12-19 19:00:00+00:00,0.8972,0.9013,0.8891,0.8928,9355755.0,,,,,,,,
2024-12-19 19:15:00+00:00,0.8928,0.8928,0.8817,0.8835,5074358.0,,,,,,,,
2024-12-19 19:30:00+00:00,0.8835,0.8835,0.8655,0.8719,13427374.0,,,,,,,,
2024-12-19 19:45:00+00:00,0.8719,0.8771,0.8572,0.876,25102287.0,,,,,,,,
2024-12-19 20:00:00+00:00,0.876,0.8795,0.8478,0.8542,24247574.0,,,,,,,,
2024-12-19 20:15:00+00:00,0.8542,0.8734,0.8467,0.866,17028622.0,,,,,,,,
2024-12-19 20:30:00+00:00,0.866,0.8796,0.8608,0.8793,8729999.0,,,,,,,,
2024-12-19 20:45:00+00:00,0.8793,0.883,0.8705,0.8784,7057950.0,,,,,,,,
2024-12-19 21:00:00+00:00,0.8784,0.8892,0.8712,0.8836,7520045.0,,,,,,,,
2024-12-19 21:15:00+00:00,0.8836,0.8937,0.8792,0.8899,6801767.0,,,,,,,,
2024-12-19 21:30:00+00:00,0.8899,0.8983,0.8867,0.8982,4147328.0,,,,,,,,
2024-12-19 21:45:00+00:00,0.8982,0.8997,0.8891,0.8896,4567040.0,,,,,,,,
2024-12-19 22:00:00+00:00,0.8896,0.8953,0.889,0.8949,2962173.0,,,,,,,,
2024-12-19 22:15:00+00:00,0.8949,0.8999,0.8931,0.8938,3893705.0,,,,,,,,
2024-12-19 22:30:00+00:00,0.8938,0.8943,0.8898,0.8938,1198677.0,,,,,,,,
2024-12-19 22:45:00+00:00,0.8938,0.9009,0.8933,0.8997,1699145.0,,,,,,,,
2024-12-19 23:00:00+00:00,0.8997,0.8997,0.8894,0.8923,3218344.0,,,,,,,,
2024-12-19 23:15:00+00:00,0.8923,0.8937,0.884,0.888,3166876.0,,,,,,,,
2024-12-19 23:30:00+00:00,0.888,0.8895,0.8826,0.8882,2279371.0,,,,,,,,
